IdStation,CodePostal,TypeRoute,Longitude,Latitude
4200008,04200,R,594300,4419500
4204001,04204,R,591369.072256,4423742.51904
4210001,04210,R,,
4210002,04210,R,597470,4383483
4210004,04210,R,598538,4383730
4210005,04210,R,597610.748,4383336.072
4240002,04240,R,666831.28,4396903.3
4260002,04260,R,664132,4426338
4280001,04280,R,559800,4385800
4300001,04300,R,577100,4395100
4300002,04300,R,579229,4395817
4300003,04300,R,578465.109392,4396097.9165
4320001,04320,R,681000,4394900
4320002,04320,R,678600,4396500
4330004,04330,R,636624.272,4395202.484
4360001,04360,R,621463.29880523,4384394.0563765
4370001,04370,R,660861,4416290
4400001,04400,R,666151,4438840
4400002,04400,R,664500,4438600
4400003,04400,R,665122.661903,4438570.16191
4400004,04400,R,662900,4438700
4500001,04500,R,608727.867,4381517.023
4500002,04500,R,609036.694857,4381562.91471
4500003,04500,R,609100,4382200
4510003,04510,R,612984.06928375,4404361.9054161
4600001,04600,R,599122,4407368
4700001,04700,R,591531,4392176
4700002,04700,R,590765.944011,4392311.00192
4700003,04700,R,589091,4392768
4700004,04700,R,591418.91314606,4392239.6418373
4800001,04800,R,588700,4375600
5000001,05000,R,610200,4456700
5000003,05000,R,605779,4454119
5000005,05000,R,606574,4454453
5000006,05000,R,609370,4456389
5000008,05000,R,608400,4456400
5000010,05000,R,604957,4453367
5000011,05000,R,607391,4455950
5000014,05000,R,607365,4455939
5000017,05000,R,605755,4454104
5000018,05000,R,607400,4455900
5100001,05100,R,662208,4488293
5100004,05100,R,663401,4489880
5100005,05100,R,662832.953742,4490502.72615
5100007,05100,R,663396,4489880
5100008,05100,R,663396,4489880
5120002,05120,R,655974.685925,4479293.20359
5120003,05120,R,658200,4485300
5130001,05130,R,605000,4445828
5130002,05130,R,605528.967,4446189.068
5130003,05130,R,605000,4445800
5160001,05160,R,640775,4452522
5190001,05190,R,617900,4446800
5200001,05200,R,648902,4455093
5200004,05200,R,649720,4453829
5200005,05200,R,648100,4454600
5200006,05200,R,649196,4453823
5200007,05200,R,648700,4456000
5200008,05200,R,648700,4454600
5220001,05220,R,651900,4497200
5230003,05230,R,626906,4454758
5230004,05230,R,619542,4456742
5230006,05230,R,627968,4454476
5230007,05230,R,627968,4454476
5240001,05240,R,655915.619,4494743.816
5240002,05240,R,657444,4493904
5260001,05260,R,618157,4464668
5300001,05300,R,583200,4431000
5300002,05300,R,582500,4431200
5300003,05300,R,583100,4431200
5300004,05300,R,577102,4434606
5350001,05350,R,680774.96,4475919.68
5400002,05400,R,583174,4453627
5400003,05400,R,583500,4453700
5400004,05400,R,583462.1,4453739.83
5500001,05500,R,607366.85408,4467298.35113
5500002,05500,R,607589.24850751,4467577.3217151
5560001,05560,R,668781,4460863
5600002,05600,R,660507.886426,4466690.31816
5600004,05600,R,658731.62517587,4465175.6108158
5600005,05600,R,663422,4467646
5600006,05600,R,665446,4465597
5700001,05700,R,571685.593409,4442769.59788
5700002,05700,R,571300,4443500
6000001,06000,R,728220,4372777
6000006,06000,R,725597,4370723
6000007,06000,R,724991,4369233
6000009,06000,R,725593.35676,4370258.12389
6000010,06300,R,729248.903911,4370708.52768
6000011,06200,R,722277,4366993
6000012,06000,R,,
6000015,06000,R,726538,4370949
6000018,06000,R,728003,4370489
6000021,06000,R,725102.262458,4370618.87825
6000022,06000,R,728159,4371666
6000025,06100,R,725543,4372781
6000026,06300,R,729200,4370700
6000027,06000,R,728159,4371666
6000028,06000,R,725102.262458,4370618.87825
6000029,06000,R,728200,4372800
6000030,06000,R,725652.551,4369934.741
6000031,06000,R,725582.746,4370759.533
6000032,06000,R,725601.79,4370957.56
6000033,06000,R,725651.373,4369933.92
6000035,06000,R,725654.42,4369935.67
6000036,06000,R,725581.72,4372752.57
6100003,06100,R,725538,4372778
6100004,06100,R,725599,4372391
6110001,06110,R,696524,4356603.41322
6110002,06110,R,701624.364,4357174.237
6110004,06110,R,701234,4357522
6110005,06110,R,699586.761565,4356943.56619
6110006,06110,R,700060,4357260
6110007,06110,R,699824.751834,4357833.85456
6110008,06110,R,700700,4358100
6110009,06110,R,696669.37572861,4356239.777794
6130001,06130,R,695210.909,4363430.527
6130002,06130,R,693457,4365388
6130003,06310,R,732490.605914,4370987.38795
6130005,06130,R,698444,4363184
6130006,06130,R,690291,4364380
6130007,06130,R,694600,4365200
6130008,06130,R,691470,4364763
6130009,06130,R,695767,4363296
6130010,06130,R,694333.54,4365411.02
6130011,06130,R,698148.74,4363460.66
6140001,06140,R,709599,4372519
6140004,06140,R,712004,4371653
6140005,06140,R,709624.81,4372518.54
6150003,06150,R,699194,4355056
