IdStation,CodePostal,TypeRoute,Long,Lat
51100039,51100,R,409681,4922508
51100040,51100,R,402756,4922651
51100041,51100,R,405933,4926468
51100043,51100,R,405639,4925940
51100044,51100,R,401720.380782,4927513.03042
51100045,51100,R,405954,4926460
51100046,51100,R,403775,4922813
51100047,51100,R,404547,4923929
51100048,51100,R,401178,4925775
51100051,51100,R,408200,4924200
51100052,51100,R,403824.12867859,4925692.7585404
51110002,51110,R,421489,4934995
51120001,51120,R,372661,4871630
51120002,51120,R,367583,4872683
51120003,51120,R,373370,4870888
51120004,51120,R,367583,4872683
51130001,51130,R,400966,4889816
51140002,51390,A,391857.508837,4924381.34562
51140003,51140,R,380800,4928500
51140004,51140,R,387100,4927500
51160002,51160,R,400400,4905400
51170001,51170,R,368670.452849,4930961.06289
51170002,51170,R,369700,4930900
51170003,51170,R,366822.974191,4930837.84807
51190001,51190,R,403031.448288,4897752.40381
51200001,51200,R,396300,4904900
51200002,51200,R,395266.833631,4903958.69293
51200003,51200,R,395645,4904637
51200004,51200,R,395011,4904685
51200005,51200,R,395900,4904000
51200006,51200,R,395645,4904637
51210001,51210,R,354000,4887300
51210003,51210,R,353828,4888175
51210004,51210,R,354038,4887286
51210005,51210,R,353828,4888175
51220001,51220,R,388976,4937051
51230001,51230,R,398577.807822,4875901.43059
51230002,51230,R,391932.619218,4873186.39984
51240002,51240,R,448500,4886100
51260004,51260,R,381372.33,4858855.76
51260005,51260,R,381317.82056655,4858861.4821897
51300002,51300,R,458649.238436,4873117
51300006,51300,R,459023.351401,4871260.45884
51300007,51300,R,458843,4872504
51300010,51300,R,458843,4872504
51300013,51300,R,459033,4873539
51300014,51300,R,458843,4872504
51303001,51300,R,460000,4873100
51310001,51310,R,355300,4872200
51320001,51320,A,437692,4868156
51320002,51320,R,420515.464366,4873194.88344
51320003,51320,R,420515.464366,4873194.88344
51330002,51330,R,488631,4894187
51340002,51340,R,484414,4876896
51340003,51340,R,484407.3806546,4876891.6720339
51350001,51350,R,405700,4921600
51360001,51360,R,418370,4917360
51370002,51370,R,400400,4928100
51370003,51370,R,396403,4921872
51370004,51370,R,399400,4926400
51390001,51390,A,392130.219,4924379.966
51390002,51390,A,392341.51280944,4924464.2982916
51400001,51400,A,423148.706374,4912817.22305
51400002,51400,A,423946,4912311
51400003,51400,R,436586.861,4913918.467
51400004,51400,R,436566,4913462
51400005,51400,A,423946,4912311
51400007,51400,A,424342.12,4911964.95
51400008,51400,A,424332.46,4912003.02
51420001,51420,R,410900,4928500
51430001,51100,R,401838,4927443
51430002,51430,R,398900,4924800
51430003,51430,R,399180,4924938
51430004,51530,R,394422,4902499
51430006,51430,R,400457,4924763
51430007,51430,R,399180,4924938
51460001,51460,R,448600,4898600
51460003,51460,R,450300,4898800
51470001,51470,R,438200,4895300
51480001,51480,R,388215,4907168
51490001,51490,R,432300,4930200
51500002,51500,R,401600,4920000
51500003,51500,R,414837,4919134
51500004,51500,R,408109.998,4916166.26
51510001,51510,R,433990,4894065
51510002,51510,R,431413.653959,4895889.80917
51520001,51520,R,434207.24955339,4899132.9902572
51520002,51520,R,434207.24955339,4899132.9902572
51600002,51600,R,452411,4912659
51600003,51600,R,453600,4912800
51700001,51700,R,363800,4907200
51700003,51700,R,364188,4907769
51700005,51700,R,364780,4908024
51700006,51700,R,376238,4908766
51700007,51700,R,364188,4907769
51700008,51700,R,4885885.89,234705.99
51700009,51700,R,364300,4907600
51800001,51800,R,490300,4909000
51800002,51800,A,479060.11555,4907407.42732
51800003,51800,A,478888.832643,4907221.81608
51800004,51800,R,488000,4908700
51800005,51800,R,491596.90471,4909511.77866
51800008,51800,A,477476,4908293
51800010,51800,R,491631.43583495,4909515.8877001
51800011,51800,A,478812.45,4907204.83
51800012,51800,A,479092.653,4907386.754
52000001,52000,R,514292,4810472
52000002,52000,R,514038,4811745
52000003,52000,R,514555.339884,4809042.0737
52000005,52000,R,514263,4811843
52000006,52000,R,514906,4812276
52000008,52000,R,514600,4809000
52000009,52000,R,514000,4811700
52100003,52100,R,491200,4861700
52100004,52100,R,489727,4864286
52100005,52100,R,489887,4864279
52100006,52100,R,486815,4864725
52100007,52100,R,486741.03692652,4864761.005902
52100008,52100,R,490775,4864144
52100009,52100,R,497300,4862700
52100010,52100,R,495900,4864900
52100011,52100,R,496900,4864300
52100012,52100,R,498000,4863700
52100014,52100,R,493410,4863059
52100015,52100,R,486815,4864725
52100016,52100,R,486741.03692652,4864761.005902
52100017,52100,R,490260.894,4864247.032
52112001,52100,R,495900,4864900
52120001,52120,A,495681,4805619
52120002,52120,R,491300,4803100
52130002,52130,R,494479,4849614
52130003,52130,R,494393,4850350
52140002,52140,R,545437.587441,4800396.18407
52140003,52140,R,548200,4801200
52140004,52140,A,549884.45503445,4797666.9951581
52140005,52140,A,549885.75263224,4797704.5362796
52150001,52150,R,558106.596982,4820154.29189
52160004,52160,A,522251.34148,4781583.64265
52160005,97429,A,,
52160006,52160,A,522386.854,4781393.28
52160007,52160,A,519812.423,4781137.712
52160008,52160,A,522300,4781600
52160009,52160,A,522478.049,4781292.55
52160010,52160,A,519849.45,4781143.73
52170001,52170,R,507500,4855100
52200002,52200,R,532876,4786997
52200003,52200,R,533131.382569,4786928.62018
52200004,52200,R,533523.97,4783209.38
52200009,52200,R,532525,4787286
52200010,52200,R,532348,4787456
52200012,52200,R,533276,4785524
52200013,52200,R,532966,4786982
52200014,52200,R,532966,4786982
52220001,52220,R,477800,4849100
52220002,52220,R,477143,4847951
52250001,52250,R,530652,4776383
52260001,52260,R,529078,4791845
52300001,52300,R,514384.998214,4844861.59084
52300002,52300,R,515000,4844500
52300003,52300,R,514635,4844977
52310001,52310,R,514100,4820200
52320001,52320,R,515146,4829340
52330002,52330,R,498157.9,4818225.722
52400001,52400,R,575166,4795420
52400002,52400,R,575465.051617,4795822.281
52500001,52500,R,561496,4778441
52500002,52500,R,561072,4778354
52540001,62540,R,250800,5050300
52600001,52600,R,542600,4780400
52600002,52600,R,554900,4784100
52600003,52600,R,543589,4780470
52700002,52700,R,532944,4825051
52800001,52800,R,534800,4803500
52800002,52800,R,534692,4803543
53000001,53000,R,-77497,4805963
53000002,53000,R,-79370.5435782,4806989.20137
53000003,53000,R,-76828,4806834
53000004,53000,R,-75266,4807923
53000005,53000,R,-79216,4807959
53000006,53000,R,-76181.8336311,4806828.48174
53000008,53000,R,-75080,4806952
53000009,53000,R,-75266,4807923
53000010,53000,R,-77497,4805963
53000011,53000,R,-79370.544,4806989.201
53002001,53000,R,-79900,4807900
53061001,53000,R,-73637.9056976,4805623.28221
53100001,53100,R,-62956,4830817
53100002,53100,R,-63946,4831412
53100004,53100,R,-61100,4830200
53100006,53100,R,-61153.9902694,4828922.17104
53100007,53100,R,-63900,4831400
53102001,53100,R,-62000,4828900
53102002,53102,R,-62200,4830200
53110001,53110,R,-48100,4844400
53120001,53120,R,-80495,4841098
53120002,53120,R,-75536.6604959,4839830.87776
53140001,53140,R,-20190.7855867,4845927.72097
53140002,53140,R,-19085.232277826,4846259.0020921
53140003,53140,R,-19085.232277826,4846259.0020921
53150001,53150,R,-55581,4814066
53160002,53160,R,-37300,4825900
53170001,53170,R,-56100,4795400
53190001,53190,R,-98061.851,4847487.995
53200001,53200,R,-70695.64,4782377.4
53200003,53200,R,-68867,4783618
53200004,53200,R,-69755,4782915
